Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
REV__YHR002W	REV__YHR002W	1	1	1	sp|YHR002W|LEU5_YEAST NCSL01000032.1 96272-97345 ORF Verified Mitochondrial carrier protein; involved in the accumulation of CoA in the mitochondrial matrix; homolog of human Graves disease protein SLC25A16, which complements yeast null mutant; does not en	1	1	1	1	1	1	1	0	0	0	40.795	357	357	3			1										1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		30	27154	True	28090	47112	41121	41121		493		58	-1
REV__YHR155W	REV__YHR155W	1	1	1	sp|YHR155W|LAM1_YEAST NCSL01000007.1 114610-118296 ORF Verified Putative sterol transfer protein; localizes to puncta in the cortical ER; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; one of six StART-like domai	1	1	1	1	1	1	1	0	0	0	143.59	1228	1228	8								1					1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		31	23452	True	24266	40574	35409	35409		802		164	-1
REV__YIR004W	REV__YIR004W	2	2	2	sp|YIR004W|DJP1_YEAST NCSL01000058.1 25311-26609 ORF Verified Cytosolic J-domain-containing protein; required for peroxisomal protein import and involved in peroxisome assembly; facilitates import of Mim1p and Mim2p into the mitochondrial outer membrane; h	1	2	2	2	2	2	2	0	0	0	48.559	432	432	7.33		1								2			0.0053687	2.1122	By MS/MS	173420	254740	219450	245480	279730	407630	351000	359810	371870	433420	562560	402390	470890	464040	334490	539100	173420	254740	219450	245480	279730	407630	351000	359810	371870	433420	562560	402390	470890	464040	334490	539100	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	0	293810000	293810000	2		+		32	8621;14040	True;True	8909;14505	15108;24383;24384	13146;21344	13146;21344					-1
REV__YIR011C	REV__YIR011C	1	1	1	sp|YIR011C|STS1_YEAST NCSL01000058.1 11663-12622 ORF Verified Protein required for localizing proteasomes to the nucleus; involved in cotranslational protein degradation; mediates interaction between nuclear import factor Srp1p and the proteasome; Sts1p an	1	1	1	1	1	1	1	0	0	0	36.484	319	319	10										1			1	-2	By MS/MS	116030	116710	83753	72962	107420	119920	86101	48521	99598	78294	103710	128720	70957	80199	48102	118750	116030	116710	83753	72962	107420	119920	86101	48521	99598	78294	103710	128720	70957	80199	48102	118750	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	74876000	74876000	1	+	+		33	21284	True	22060	36967	32277	32277	7		193		-1
REV__YJL052W	REV__YJL052W	1	1	1	sp|YJL052W|TDH1_YEAST NCSL01000002.1 133536-134534 ORF Verified Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphogl	1	1	1	1	1	1	1	0	0	0	35.705	332	332	12												1	1	-2	By MS/MS	0	60601	0	0	25921	0	0	0	0	0	35179	0	23827	0	33971	0	0	60601	0	0	25921	0	0	0	0	0	35179	0	23827	0	33971	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	+	+		34	28281	True	29257	49248	42968	42968	8		104		-1
REV__YJL061W	REV__YJL061W	1	1	1	sp|YJL061W|NUP82_YEAST NCSL01000002.1 115296-117437 ORF Verified Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associa	1	1	1	1	1	1	1	0	0	0	82.075	713	713	10.3										2	1		0.007563	1.9955	By MS/MS	603630	736440	637940	624430	926690	1106300	947940	838560	693870	888470	1200900	1238500	1149800	984170	866550	1204300	603630	736440	637940	624430	926690	1106300	947940	838560	693870	888470	1200900	1238500	1149800	984170	866550	1204300	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	338750000	338750000	1		+		35	24306	True	25154	42138;42139;42140	36761	36761	9		260		-1
REV__YJL131C	REV__YJL131C	1	1	1	sp|YJL131C|AIM23_YEAST NCSL01000023.1 32371-33441 ORF Verified Mitochondrial translation initiation factor 3 (IF3, mIF3); evolutionarily conserved; binds to E. coli ribosomes in vitro; null mutant displays severe respiratory growth defect and elevated freq	1	1	1	1	1	1	1	0	0	0	41.452	356	356	8								1					1	-2	By MS/MS	744060	624840	251690	171500	245630	321050	505290	228010	485390	335660	346500	426280	224640	270180	219230	880620	744060	624840	251690	171500	245630	321050	505290	228010	485390	335660	346500	426280	224640	270180	219230	880620	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	250690000	250690000	1	+	+		36	18536	True	19211	32387	28234	28234	10		344		-1
REV__YKL092C	REV__YKL092C	2	2	2	sp|YKL092C|BUD2_YEAST NCSL01000010.1 267375-270689 ORF Verified GTPase activating factor for Rsr1p/Bud1p; plays a role in spindle position checkpoint distinct from its role in bud site selection; required for both axial and bipolar budding patterns; mutant	1	2	2	2	2	2	2	0	0	0	126.7	1104	1104	10									1	2	1		0.0042541	2.1797	By MS/MS	645150	875740	2099400	1589900	2027400	2247400	2479400	1429400	1481600	2249800	2290400	1772400	1594800	1781800	1809100	1264400	645150	875740	2099400	1589900	2027400	2247400	2479400	1429400	1481600	2249800	2290400	1772400	1594800	1781800	1809100	1264400	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	575520000	575520000	1		+		37	20540;24467	True;True	21301;25323	35714;42395;42396;42397	31186;36993	31186;36993					-1
REV__YKR054C	REV__YKR054C	3	3	3	sp|YKR054C|DYN1_YEAST NCSL01000053.1 15954-28232 ORF Verified Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spi	1	3	3	3	3	3	3	0	0	0	471.11	4092	4092	8.11			1	2					2	1	2	1	0.0056513	2.1097	By MS/MS	131050	138450	162090	165120	206470	181900	178200	148790	178130	164060	277080	259150	281530	246150	134230	234520	131050	138450	162090	165120	206470	181900	178200	148790	178130	164060	277080	259150	281530	246150	134230	234520	4	4	2	2	4	4	4	2	4	4	4	4	4	4	2	4	0	308060000	308060000	2		+		38	10577;14023;22186	True;True;True	10958;14487;22982	18749;18750;18751;24359;24360;24361;38439;38440;38441	16358;21322;33583	16358;21322;33583					-1
REV__YLR014C	REV__YLR014C	1	1	1	sp|YLR014C|PPR1_YEAST NCSL01000004.1 164440-167154 ORF Verified Zinc finger transcription factor; contains a Zn(2)-Cys(6) binuclear cluster domain, positively regulates transcription of URA1, URA3, URA4, and URA10, which are involved in de novo pyrimidine 	1	1	1	1	1	1	1	0	0	0	102.73	904	904	1	1												1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+		39	12859	True	13293	22546	19672	19672		494		490	-1
REV__YLR035C	REV__YLR035C	2	2	2	sp|YLR035C|MLH2_YEAST NCSL01000004.1 204524-206611 ORF Verified Protein involved in mismatch repair and meiotic recombination; only certain frameshift intermediates are mismatch repair substrates; forms a complex with Mlh1p GN=MLH2 PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	78.108	695	695	6					1		1						0.0037271	2.3174	By MS/MS	34284	30352	33244	44846	28787	50862	52523	89647	58145	224350	300850	268920	312270	389380	294750	464570	34284	30352	33244	44846	28787	50862	52523	89647	58145	224350	300850	268920	312270	389380	294750	464570	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	0	449340000	449340000	2		+		40	4041;22527	True;True	4193;23329	7349;39007	6351;34045	6351;34045					-1
REV__YLR119W	REV__YLR119W	1	1	1	sp|YLR119W|SRN2_YEAST NCSL01000004.1 371546-372097 ORF Verified Component of the ESCRT-I complex; ESCRT-I is involved in ubiquitin-dependent sorting of proteins into the endosome; suppressor of rna1-1 mutation; may be involved in RNA export from nucleus GN	1	1	1	1	1	1	1	0	0	0	21.527	183	183	11											1		0.0062042	2.09	By MS/MS	0	10700	2608.8	3760.8	2509.9	6675.3	0	0	0	7918.2	2509.6	2692.7	5661.7	4392.8	3320.5	5092.6	0	10700	2608.8	3760.8	2509.9	6675.3	0	0	0	7918.2	2509.6	2692.7	5661.7	4392.8	3320.5	5092.6	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	4197300	4197300	1		+		41	9763	True	10116	17341	15097	15097					-1
REV__YLR148W	REV__YLR148W	2	2	2	sp|YLR148W|PEP3_YEAST NCSL01000004.1 420507-423263 ORF Verified Component of CORVET membrane tethering complex; vacuolar peripheral membrane protein that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, required for vacuolar 	1	2	2	2	2	2	2	0	0	0	107.33	918	918	5				1		1							0.0020296	2.5007	By MS/MS	195880	245530	235560	171470	296210	288190	335750	182450	183140	254280	266500	249850	313760	303280	179460	370850	195880	245530	235560	171470	296210	288190	335750	182450	183140	254280	266500	249850	313760	303280	179460	370850	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	68993000	68993000	2		+		42	4027;28058	True;True	4178;29029	7317;48834	6320;42616	6320;42616					-1
REV__YLR263W	REV__YLR263W	1	1	1	sp|YLR263W|RED1_YEAST NCSL01000012.1 168397-170880 ORF Verified Protein component of the synaptonemal complex axial elements; involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; 	1	1	1	1	1	1	1	0	0	0	95.731	827	827	2		1											0.0011747	2.7182	By MS/MS	253550	238330	92173	0	186740	195670	127700	0	227120	263210	217280	267080	140300	278010	0	434020	253550	238330	92173	0	186740	195670	127700	0	227120	263210	217280	267080	140300	278010	0	434020	2	2	1	0	2	2	2	0	2	2	2	2	2	2	0	2	0	428520000	428520000	2		+		43	11240	True	11630	19844	17298;17299	17299					-1
REV__YLR386W	REV__YLR386W	1	1	1	sp|YLR386W|VAC14_YEAST NCSL01000018.1 145373-148015 ORF Verified Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate, in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole si	1	1	1	1	1	1	1	0	0	0	99.771	880	880	2.33		2	1										0.0081164	1.9801	By MS/MS	242960	288760	142570	233640	241470	411070	487090	412670	246870	412680	470950	403230	491190	523840	554080	514350	242960	288760	142570	233640	241470	411070	487090	412670	246870	412680	470950	403230	491190	523840	554080	514350	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1560000000	1560000000	1		+		44	9473	True	9812	16794;16795;16796	14631	14631					-1
REV__YML127W	REV__YML127W	1	1	1	sp|YML127W|RSC9_YEAST NCSL01000001.1 558027-559772 ORF Verified Component of the RSC chromatin remodeling complex; DNA-binding protein involved in the synthesis of rRNA and in transcriptional repression and activation of genes regulated by the Target of Ra	1	1	1	1	1	1	1	0	0	0	65.203	581	581	8								1					0.0017467	2.5736	By MS/MS	145770	156890	180600	165120	179410	216480	197830	124670	130050	172510	215720	138640	209510	186020	173400	145540	145770	156890	180600	165120	179410	216480	197830	124670	130050	172510	215720	138640	209510	186020	173400	145540	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	58207000	58207000	1		+		45	2787	True	2901	5358	4568	4568					-1
REV__YMR013C	REV__YMR013C	1	1	1	sp|YMR013C|SEC59_YEAST NCSL01000001.1 292136-293695 ORF Verified Dolichol kinase; catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosyl	1	1	1	1	1	1	1	0	0	0	58.919	519	519	11.5											3	3	0.0070225	2.0541	By MS/MS	1389200	1401700	1303800	916440	1176200	1303800	1149300	1045400	809850	1201700	1371600	1445300	1319100	1184500	1152100	1665900	1389200	1401700	1303800	916440	1176200	1303800	1149300	1045400	809850	1201700	1371600	1445300	1319100	1184500	1152100	1665900	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	3384300000	3384300000	2		+		46	17176	True	17738	29795;29796;29797;29798;29799;29800	25992;25993	25992					-1
REV__YMR106C	REV__YMR106C	2	2	2	sp|YMR106C|YKU80_YEAST NCSL01000001.1 119529-121418 ORF Verified Subunit of telomeric Ku complex (Yku70p-Yku80p); involved in telomere length maintenance, structure and telomere position effect; required for localization of telomerase ribonucleoprotein via	1	2	2	2	2	2	2	0	0	0	71.169	629	629	2.83	2	1		2	1								0.010014	1.8435	By MS/MS	1675800	1770800	1618100	1351900	1905300	1819500	1686600	2082000	1481000	1664500	1684700	1721700	1673000	2094000	1435100	2298300	1675800	1770800	1618100	1351900	1905300	1819500	1686600	2082000	1481000	1664500	1684700	1721700	1673000	2094000	1435100	2298300	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	2458700000	2458700000	2		+		47	23891;27015	True;True	24718;27950	41414;41415;41416;46872;46873;46874	36142;40920	36142;40920	11		604		-1
REV__YMR213W	REV__YMR213W	1	1	1	sp|YMR213W|CEF1_YEAST NCSL01000014.1 59271-61043 ORF Verified Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily 	1	1	1	1	1	1	1	0	0	0	67.784	590	590	10										2			0.0064807	2.0815	By MS/MS	276950	294410	351780	306420	341690	287550	325100	271350	244660	289380	369930	336200	360420	354020	256910	467370	276950	294410	351780	306420	341690	287550	325100	271350	244660	289380	369930	336200	360420	354020	256910	467370	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	205210000	205210000	1		+		48	29613	True	30640	51720;51721	45084	45084					-1
REV__YMR240C	REV__YMR240C	2	2	2	sp|YMR240C|CUS1_YEAST NCSL01000014.1 115798-117108 ORF Verified Protein required for assembly of U2 snRNP into the spliceosome; forms a complex with Hsh49p and Hsh155p GN=CUS1 PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	50.194	436	436	10.2						1					1	2	0.0045364	2.1606	By MS/MS	433750	435620	365230	314200	409220	428250	607310	384060	430980	579270	668590	478220	541490	571720	447540	653210	433750	435620	365230	314200	409220	428250	607310	384060	430980	579270	668590	478220	541490	571720	447540	653210	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	231660000	231660000	2		+		49	10384;24334	True;True	10759;25186	18445;18446;18447;42194	16083;36806	16083;36806					-1
REV__YNL082W	REV__YNL082W	2	2	2	sp|YNL082W|PMS1_YEAST NCSL01000011.1 219842-222475 ORF Verified ATP-binding protein required for mismatch repair; required for both mitosis and meiosis; functions as a heterodimer with Mlh1p; binds double- and single-stranded DNA via its N-terminal domain,	1	2	2	2	2	2	2	0	0	0	99.599	877	877	9								2	2	2			0.0026064	2.4609	By MS/MS	1350000	1642800	349920	1207100	988400	2195000	1573200	1663400	806960	2430600	1185300	1895700	1100600	1864400	1190100	2081500	1350000	1642800	349920	1207100	988400	2195000	1573200	1663400	806960	2430600	1185300	1895700	1100600	1864400	1190100	2081500	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	0	18922000000	18922000000	2		+		50	21742;24942	True;True	22529;25812	37730;37731;37732;37733;37734;43294	32953;32954;37773	32953;37773					-1
REV__YNL212W	REV__YNL212W	1	1	1	sp|YNL212W|VID27_YEAST NCSL01000026.1 145231-147579 ORF Verified Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mu	1	1	1	1	1	1	1	0	0	0	88.774	782	782	7.73						3	4		2	1	1		0.0023168	2.461	By MS/MS	6551300	8052200	7535800	7239900	5590100	9018800	9185200	7351700	6265400	7328500	8517700	7188900	6633300	4109400	7651600	8781300	6551300	8052200	7535800	7239900	5590100	9018800	9185200	7351700	6265400	7328500	8517700	7188900	6633300	4109400	7651600	8781300	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0	5321400000	5321400000	4		+		51	12706	True	13136	22299;22300;22301;22302;22303;22304;22305;22306;22307;22308;22309	19440;19441;19442;19443	19442					-1
REV__YOL036W	REV__YOL036W	1	1	1	sp|YOL036W|dubious918_YEAST NCSL01000009.1 316602-318887 ORF Uncharacterized Protein of unknown function; potential Cdc28p substrate; YOL036W has a paralog, YIR016W, that arose from the whole genome duplication GN=dubious918 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	84.387	761	761	10										1			0.0050862	2.1131	By MS/MS	140180	159350	141790	126640	160930	146590	147790	148600	111840	165260	157510	129670	154560	133870	115280	209210	140180	159350	141790	126640	160930	146590	147790	148600	111840	165260	157510	129670	154560	133870	115280	209210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	61170000	61170000	1		+		52	24599	True	25455	42640	37205	37205					-1
REV__YOL141W	REV__YOL141W	1	1	1	sp|YOL141W|PPM2_YEAST NCSL01000069.1 17283-19370 ORF Verified AdoMet-dependent tRNA methyltransferase; also involved in methoxycarbonylation; required for the synthesis of wybutosine (yW), a modified guanosine found at the 3-position adjacent to the antic	1	1	1	1	1	1	1	0	0	0	78.813	695	695	8.33								2	1				0.0028927	2.4473	By MS/MS	1239000	1390800	1557700	1466700	1763100	1617700	1776500	1270800	1159800	1613700	1552800	1337200	1512300	1186500	1633700	1448200	1239000	1390800	1557700	1466700	1763100	1617700	1776500	1270800	1159800	1613700	1552800	1337200	1512300	1186500	1633700	1448200	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3847500000	3847500000	1		+		53	20541	True	21302	35715;35716;35717	31187	31187	12		466		-1
REV__YOR113W	REV__YOR113W	1	1	1	sp|YOR113W|AZF1_YEAST NCSL01000009.1 38911-41025 ORF Verified Zinc-finger transcription factor; involved in diauxic shift; in the presence of glucose, activates transcription of genes involved in growth and carbon metabolism; in nonfermentable carbon sourc	1	1	1	1	1	1	1	0	0	0	78.151	704	704	1	1												0.0092179	1.9109	By MS/MS	63060	97948	93628	39899	60474	86811	97237	88604	100670	126370	169200	187790	194240	160340	135320	251030	63060	97948	93628	39899	60474	86811	97237	88604	100670	126370	169200	187790	194240	160340	135320	251030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	127000000	127000000	1		+		54	12930	True	13364	22650	19769	19769					-1
REV__YOR184W	REV__YOR184W	1	1	1	sp|YOR184W|SER1_YEAST NCSL01000003.1 376493-377680 ORF Verified 3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amin	1	1	1	1	1	1	1	0	0	0	43.415	395	395	7.67							2		1				0.0059222	2.09	By MS/MS	714230	868900	812530	811770	870810	847730	1000900	911670	641330	824950	810560	946170	964550	976180	761470	1322800	714230	868900	812530	811770	870810	847730	1000900	911670	641330	824950	810560	946170	964550	976180	761470	1322800	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	197300000	197300000	2		+		55	4531	True	4696	8107;8108;8109	7048;7049	7049					-1
REV__YOR335C	REV__YOR335C	2	2	2	sp|YOR335C|ALA1_YEAST NCSL01000003.1 114385-117261 ORF Verified Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally	1	2	2	2	2	2	2	0	0	0	107.29	958	958	11.2									1		2	3	0.0034513	2.3807	By MS/MS	2458400	2681800	1733700	1794200	1781100	1986900	2499100	2232700	1762500	2335800	2542200	2409100	1919700	1882000	1676400	2818800	2458400	2681800	1733700	1794200	1781100	1986900	2499100	2232700	1762500	2335800	2542200	2409100	1919700	1882000	1676400	2818800	6	6	6	6	6	6	6	4	6	6	6	6	6	4	6	6	0	7857800000	7857800000	4		+		56	606;14672	True;True	633;15160	1159;1160;1161;1162;1163;25568	971;972;973;22367	973;22367					-1
REV__YPL001W	REV__YPL001W	3	3	3	sp|YPL001W|HAT1_YEAST NCSL01000005.1 221639-222763 ORF Verified Catalytic subunit of the Hat1p-Hat2p histone acetyltransferase complex; uses the cofactor acetyl coenzyme A to acetylate free nuclear and cytoplasmic histone H4; involved in telomeric silencin	1	3	3	3	3	3	3	0	0	0	43.801	374	374	5.33	1					1			1				0.0048036	2.1224	By MS/MS	3371600	4760700	4709500	3957300	5002600	3251000	4076800	4187700	3170900	3846600	6125300	3991100	4452300	4458300	3064600	4616300	3371600	4760700	4709500	3957300	5002600	3251000	4076800	4187700	3170900	3846600	6125300	3991100	4452300	4458300	3064600	4616300	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1095600000	1095600000	3		+		57	3951;7507;22654	True;True;True	4101;7759;23457	7223;13086;39209	6231;11431;34216	6231;11431;34216					-1
REV__YPL070W	REV__YPL070W	1	1	1	sp|YPL070W|MUK1_YEAST NCSL01000005.1 348411-350249 ORF Verified Guanine nucleotide exchange factor (GEF); involved in vesicle-mediated vacuolar transport, including Golgi-endosome trafficking and sorting through the multivesicular body (MVB); specifically 	1	1	1	1	1	1	1	0	0	0	69.51	612	612	2.33		2	1										0.0097385	1.8453	By MS/MS	420750	638250	312010	585150	604290	530400	546140	829070	637580	1261200	1269500	1024200	1407500	804940	914950	1254700	420750	638250	312010	585150	604290	530400	546140	829070	637580	1261200	1269500	1024200	1407500	804940	914950	1254700	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	0	2417200000	2417200000	1		+		58	11579	True	11989	20442;20443;20444	17810	17810					-1
REV__YPL212C	REV__YPL212C	2	2	2	sp|YPL212C|PUS1_YEAST NCSL01000062.1 15152-16786 ORF Verified tRNA:pseudouridine synthase; introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; also acts on U2 snRNA; also pseudouridylates some mRNAs, and pseudouridylation level varies 	1	2	2	2	2	2	2	0	0	0	62.22	544	544	4.6			2	2					1				0.00088757	2.846	By MS/MS	4531400	4063400	2622600	2573100	3540800	3739400	3938500	3355500	3363400	3432800	3709700	3903700	2909200	4128700	2394600	3874300	4531400	4063400	2622600	2573100	3540800	3739400	3938500	3355500	3363400	3432800	3709700	3903700	2909200	4128700	2394600	3874300	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	2212500000	2212500000	3		+		59	1945;2865	True;True	2039;2980	3736;5470;5471;5472;5473	3161;4671;4672	3161;4672					-1
REV__YPL263C	REV__YPL263C	1	1	1	sp|YPL263C|KEL3_YEAST NCSL01000036.1 18592-20547 ORF Verified Cytoplasmic protein of unknown function GN=KEL3 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	75.431	651	651	7							1						1	-2	By MS/MS	69640	49092	87791	74860	97102	84857	42819	101320	42700	61907	74105	76067	78724	38308	53665	87417	69640	49092	87791	74860	97102	84857	42819	101320	42700	61907	74105	76067	78724	38308	53665	87417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	79349000	79349000	1	+	+		60	23102	True	23915	39998	34893	34893	13		91		-1
YAL003W	YAL003W	12	12	12	sp|YAL003W|EFB1_YEAST NCSL01000027.1 113931-114920 ORF Verified Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacy	1	12	12	12	12	12	12	58.5	58.5	58.5	22.742	207	207	6.3	2	2	7	8	11	12	12	4	10	3	3	2	0	196.6	By MS/MS	17042000	22110000	19172000	17969000	21643000	25438000	20647000	19976000	18395000	24675000	23225000	20827000	20772000	21161000	19202000	22427000	17042000	22110000	19172000	17969000	21643000	25438000	20647000	19976000	18395000	24675000	23225000	20827000	20772000	21161000	19202000	22427000	44	49	50	55	56	56	52	52	46	58	55	51	57	55	53	52	58.5	82583000000	82583000000	65				61	111;548;760;761;2065;2066;10153;21286;21287;23763;25672;30243	True;True;True;True;True;True;True;True;True;True;True;True	114;573;797;798;799;800;2159;2160;10522;22062;22063;24586;24587;26561;31297	205;1044;1045;1046;1047;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;3953;3954;3955;3956;18029;18030;18031;18032;18033;18034;18035;36970;36971;36972;36973;36974;36975;36976;36977;36978;36979;36980;36981;36982;41184;41185;41186;41187;41188;41189;41190;41191;41192;41193;41194;41195;44521;44522;44523;52926;52927;52928;52929;52930;52931	180;181;879;880;881;1246;1247;1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;3346;3347;3348;15726;15727;15728;32280;32281;32282;32283;32284;32285;32286;32287;32288;32289;32290;32291;32292;32293;32294;32295;32296;32297;35941;35942;35943;35944;35945;35946;35947;35948;35949;35950;35951;35952;35953;35954;38865;38866;46103;46104;46105;46106;46107	181;879;1248;1259;3346;3347;15727;32281;32282;35952;38866;46104	14;15		140;149		-1
